Device,Size [B],Date [UTC],list_devices
ams01-con01.webex.com,26080,2020/1/30 2:34,IF(
ams01-con02.webex.com,9399,2020/1/30 2:34,
ams01-con03.webex.com,15019,2020/1/30 2:34,
ams01-con05.webex.com,13567,2020/1/30 2:34,
ams01-con07.webex.com,13815,2020/1/30 2:34,
ams01-con08.webex.com,13906,2020/1/30 2:34,
ams01-k13-mgmt-sw01.webex.com,13087,2020/1/30 2:34,
ams01-k15-mgmt-sw02.webex.com,13201,2020/1/30 2:34,
ams01-k16-mgmt-sw03.webex.com,13004,2020/1/30 2:34,
ams01-k17-mgmt-sw04.webex.com,13344,2020/1/30 2:34,
ams01-k19-mgmt-sw05.webex.com,12999,2020/1/30 2:34,
ams01-k20-mgmt-sw06.webex.com,12929,2020/1/30 2:34,
ams01-k21-mgmt-sw07.webex.com,13197,2020/1/30 2:34,
ams01-k25-mgmt-sw08.webex.com,13602,2020/1/30 2:34,
ams01-k27-mgmt-sw29.webex.com,11459,2020/1/30 2:34,
ams01-k28-mgmt-sw30.webex.com,11549,2020/1/30 2:34,
ams01-m13-mgmt-sw09.webex.com,13287,2020/1/30 2:34,
ams01-m15-mgmt-sw10.webex.com,13312,2020/1/30 2:34,
ams01-m20-mgmt-sw37.webex.com,12990,2020/1/30 2:34,
ams01-mgmt-m16-sw14.webex.com,12599,2020/1/30 2:34,
ams01-mgmt-m17-sw15.webex.com,12995,2020/1/30 2:34,
ams01-n26-mgmt-sw36.webex.com,8397,2020/1/30 2:34,
ams01-n27-mgmt-sw13.webex.com,14273,2020/1/30 2:34,
ams01-n29-mgmt-sw11.webex.com,13002,2020/1/30 2:34,
ams01-n30-mgmt-sw12.webex.com,12993,2020/1/30 2:34,
ams01-o16-mgmt-sw32.webex.com,11062,2020/1/30 2:34,
ams01-o17-mgmt-sw21.webex.com,7223,2020/1/30 2:35,
ams01-o4-mgmt-sw26.webex.com,12472,2020/1/30 2:35,
ams01-o5-mgmt-sw27.webex.com,12472,2020/1/30 2:35,
ams01-o6-mgmt-sw28.webex.com,12472,2020/1/30 2:35,
ams01-o7-mgmt-sw31.webex.com,11061,2020/1/30 2:35,
ams01-oob-con01.webex.com,29487,2020/1/30 2:35,
ams01-oob-con02.webex.com,21261,2020/1/30 2:35,
ams01-oob-sw01a.webex.com,24506,2020/1/30 2:35,
ams01-oob-sw01b.webex.com,24450,2020/1/30 2:35,
ams01-p12-mgmt-sw18.webex.com,8299,2020/1/30 2:35,
ams01-p16-mgmt-sw34.webex.com,13235,2020/1/30 2:36,
ams01-p17-mgmt-sw35.webex.com,13235,2020/1/30 2:36,
ams01-p4-mgmt-sw33.webex.com,13259,2020/1/30 2:37,
ams01-wxbb-pe01.webex.com,151332,2020/1/30 2:37,
ams01-wxbb-pe02.webex.com,150866,2020/1/30 2:37,
ams01-wxdz-dmz01.webex.com,26113,2020/1/30 2:37,
ams01-wxdz-dmz02.webex.com,12577,2020/1/30 2:37,
ams01-wxp00-asa02a-connect.webex.com,65965,2020/1/30 2:38,
ams01-wxp00-asa02a-system.webex.com,6003,2020/1/30 2:38,
ams01-wxp00-asa02a.webex.com,8365,2020/1/30 2:38,
ams01-wxp00-asa02b-connect.webex.com,65965,2020/1/30 2:38,
ams01-wxp00-asa02b-system.webex.com,6005,2020/1/30 2:38,
ams01-wxp00-asa02b.webex.com,8365,2020/1/30 2:38,
